strain,bpTIC,ascr_total,anglas#3,anglas#7,ascr#1,ascr#10,ascr#11,ascr#12,ascr#15,ascr#18,ascr#22,ascr#3,ascr#5,ascr#7,ascr#8,ascr#81,ascr#9,bhas#10,bhas#11,bhas#12,bhas#16,bhas#18,bhas#22,bhas#26,bhos#10,bhos#18,bhos#22,glas#1,glas#3,icas#10,icas#3,icas#9,iglas#2,iglu#1,iglu#2,osas#10,osas#2,osas#9,oscr#1,oscr#10,oscr#11,oscr#12,oscr#14,oscr#18,oscr#19,oscr#21,oscr#3,oscr#7,oscr#9,uglas#11
PB303,10401928832,237647843,38821,18470,1.23E+07,2709020,7848230,2635910,3.42E+07,1303130,21802,2.55E+07,1.15E+08,3009150,68597,2317850,3047430,102552,901258,311984,8185,163338,77013,1000,8188,111366,77013,19735,511513,27741,235004,570122,16479,1.68E+07,1000,75338,348032,63046,131102,166631,20527,861259,3249,1725860,6534,3053,39504,3011650,1378370,75487
PB306,46430870049,337653898,565486,399892,2.19E+07,5514690,7916940,3734520,963963,3998080,19456,9.14E+07,1.26E+08,3384730,35224,8572180,3925140,229428,564436,503743,20080,622828,714255,52851,229428,302865,61774,119698,2817460,51329,795327,1585780,91367,4.33E+07,7010,249683,1558270,191961,211315,255297,38381,790589,9181,1793420,7359,41806,142837,172169,1447760,179310
PS2025,30158393415,342252202,224386,94585,2.22E+07,6548420,1.14E+07,3092680,368177,2591120,14226,7.29E+07,1.54E+08,1817740,1027990,3045820,4820180,103084,1002950,395963,17952,391786,461763,158036,16122,245535,81373,75031,1269940,110843,903342,1357560,129952,4.27E+07,4411,48564,1101670,52419,280433,223587,10501,1223090,3580,2952000,5626,3792,158073,247914,1946490,17596
QG1,13031952581,137629557,349406,52207,1.39E+07,3045540,3471840,1635330,339273,905779,3956,2.74E+07,5.55E+07,2036400,18889,1514970,1644420,81627,326791,167196,9247,145324,169292,85747,81627,91880,37627,52800,766864,33211,117683,172973,161763,2.07E+07,6886,64693,225757,24198,98682,119326,3815,445894,3289,724370,4811,10719,33718,56540,791581,72416
QG536,33641967754,159925296,167126,161277,1.05E+07,2834680,4426520,2213710,708667,1107780,6490,3.22E+07,5.90E+07,2459690,1000,2578620,2930040,35225,262235,189607,5261,192342,248951,64872,35225,98110,26774,48688,789542,77929,197167,885345,396526,3.19E+07,6198,182055,444347,109510,56446,91676,35542,417969,4982,644921,5207,1000,84523,92714,911856,99551
QG537,12323005605,212915102,67081,38488,1.25E+07,2241700,5613330,1951030,215172,1049730,13455,4.38E+07,1.01E+08,5786930,203792,4001690,1858730,119608,906906,226345,18765,257919,258438,106990,119608,168524,51674,49743,283673,28418,379812,941228,32686,2.39E+07,5138,386914,305526,228118,97828,170067,16288,571191,2622,1276580,9649,37567,80989,111610,1058500,46450
QG538,12658447454,114948046,17104,2974,7011620,1061410,3031160,1026180,697528,542189,15290,2.41E+07,4.59E+07,3618470,419970,1098890,1219910,74819,8556,189344,1000,110741,137785,58428,74819,70393,21143,36340,189731,14967,139762,312783,20294,2.17E+07,1000,167864,158241,121906,38088,64499,18393,249028,3624,564050,4655,3761,14590,38586,484061,1000
QG556,68942363411,503461354,682575,1128140,3.51E+07,7302620,1.83E+07,7736280,1934300,3493350,66578,1.08E+08,1.94E+08,5660310,44652,1.24E+07,1.27E+07,288403,1311140,641584,22321,919282,1104300,173404,288403,452881,107953,81255,1851700,311652,2280670,5238930,36219,6.65E+07,6039,971839,3180280,714470,421241,234340,89354,1280100,15006,1593530,12336,12474,380080,426473,3431750,291140
QG557,32922536986,385669281,422569,503054,2.44E+07,1.39E+07,1.12E+07,6497200,652540,3374830,20814,8.08E+07,1.42E+08,4962370,141213,1.61E+07,8219610,191105,966420,428043,41222,545879,475403,169570,191105,270164,77063,114193,1014780,320615,1556590,1.02E+07,23151,4.38E+07,4528,1551740,1141240,1389820,220373,338482,35617,1304290,6211,1915310,6317,55469,211225,222499,3338640,367117
QX1212,13773720345,179411946,41864,18046,9224100,1505930,5887960,2047230,260458,750718,11694,2.51E+07,9.68E+07,2491730,545222,2085880,2267890,45949,303007,103072,1000,119522,136642,46401,3895,103222,36414,27446,187987,22724,385657,756516,47124,2.42E+07,3448,37946,268199,25075,135013,99506,18498,588111,2625,982627,4178,4073,62369,64538,1555840,1000
QX1233,9876426445,39491098,62902,7209,2573830,669497,932869,987780,468942,168305,6954,6017680,1.41E+07,863843,131094,25995,702411,13834,209635,65574,1000,28317,31693,18618,13834,13956,31693,10886,87083,1000,64886,87323,1000,9677080,1000,8343,42067,17204,14382,12728,2771,95979,2421,136123,3935,1000,2464,30638,1014420,1000
QX1791,11447408068,73863062,58205,62505,3073830,639702,1728180,971676,277415,263432,18245,1.72E+07,2.70E+07,1790760,17221,887419,1013790,46903,347979,119675,4900,49655,47584,11827,46903,22645,4404,10383,442273,1000,118864,273808,1000,1.62E+07,1000,45388,152736,39281,20460,21148,7573,3781,3145,217293,6128,4532,19751,37084,522048,3231
QX1792,12219916687,79893100,70798,35742,3762170,741438,2538700,757748,669127,284631,4865,1.28E+07,3.89E+07,1580800,19247,935362,1031170,25338,342633,120857,4189,55360,47557,13980,25338,32971,47557,14917,133179,24277,150593,263077,1000,1.30E+07,3140,47014,166227,38061,20917,29552,8117,209089,2499,254631,4655,1000,27839,24721,587079,109738
QX1793,22396710191,57233638,116278,66166,4474350,3210200,1109130,843972,289833,238146,5310,1.21E+07,1.55E+07,925561,1000,1017160,996897,4784,303441,97265,1000,66314,48240,31463,4784,9038,48240,33620,200327,16205,37710,241800,7338,1.33E+07,1000,108969,116037,101109,11257,7670,10125,79605,3278,86944,8355,8259,6243,925561,385254,1000
QX1794,29241548626,322664349,754550,378925,2.08E+07,1.63E+07,1.06E+07,4336400,210731,3341020,23054,5.95E+07,1.33E+08,4536910,91896,9522190,4960210,192808,1316300,297962,23160,418167,436299,188324,20822,274089,66016,91720,752945,36597,207906,977288,71202,4.02E+07,6114,328512,1123770,425002,220806,239984,44319,1322530,4853,2122180,6887,5212,126923,185886,2008430,423950
RC301,18592039739,244886808,125928,93816,1.29E+07,2920950,8622710,3037870,882530,1203540,19642,3.32E+07,1.26E+08,2859680,6614,5115890,3551180,93935,1001430,307011,12571,157298,199819,27752,8730,114998,30577,47831,587268,34209,304124,1152380,48378,3.47E+07,3843,229629,648516,173103,148831,200238,5742,805381,4830,1455430,4645,4356,72278,83627,1389510,431188
WN2001,34698608339,46564434,27287,1000,2952110,553362,919229,667638,779203,140621,1000,1.07E+07,1.47E+07,572476,1000,1166760,547903,22112,17413,65885,1000,54537,35357,19122,22112,7983,35357,10785,206809,6780,71916,213952,191804,1.06E+07,4819,76965,36478,42493,5928,553362,34180,89150,5661,66343,7162,6274,5194,15674,245638,1000
