Strain,feature,rep,value
ECA2818,ascr#10,1,875534.4518
ECA2818,nacq#1,1,2848624.67
ECA2818,ascr#5,1,49483036
ECA2818,ascr#9,2,76878.99746
ECA2818,oscr#9,2,78944.65084
ECA2818,ascr#12,2,189586.0244
ECA2818,oscr#12,2,65021.33832
ECA2818,ascr#18,2,303188.4399
ECA2818,oscr#18,2,375079.9559
ECA2818,iglu#1,2,28288076.44
ECA2818,ascr#7,2,185866.8723
ECA2818,iglu#2,2,1887266.663
ECA2818,ascr#1,2,2842213.308
ECA2818,ascr#3,2,9299357.971
ECA2818,ascr#10,2,824453.8061
ECA2818,nacq#1,2,2227810.028
ECA2818,ascr#5,2,49025833
ECA2818,ascr#9,3,46465.31136
ECA2818,oscr#9,3,34050.76947
ECA2818,ascr#12,3,136022.8088
ECA2818,oscr#12,3,20982.61825
ECA2818,ascr#18,3,200990.6341
ECA2818,oscr#18,3,175270.585
ECA2818,iglu#1,3,23898628.21
ECA2818,ascr#7,3,162864.9898
ECA2818,iglu#2,3,1432908.859
ECA2818,ascr#1,3,2408762.67
ECA2818,ascr#3,3,5672579.133
ECA2818,ascr#10,3,470895.5666
ECA2818,nacq#1,3,1347317.886
ECA2818,ascr#5,3,18148923
ECA2818,ascr#9,4,84278.42813
ECA2818,oscr#9,4,69173.02793
ECA2818,ascr#12,4,225331.1981
ECA2818,oscr#12,4,65513.38737
ECA2818,ascr#18,4,414929.8466
ECA2818,oscr#18,4,534257.9613
ECA2818,iglu#1,4,21720916.03
ECA2818,ascr#7,4,204954.148
ECA2818,iglu#2,4,3265929.605
ECA2818,ascr#1,4,3211775.29
ECA2818,ascr#3,4,10067534.54
ECA2818,ascr#10,4,908419.1554
ECA2818,nacq#1,4,159765.8644
ECA2818,ascr#5,4,41417258
ECA2818,ascr#9,5,77548.47892
ECA2818,oscr#9,5,78306.91936
ECA2818,ascr#12,5,228549.1028
ECA2818,oscr#12,5,44980.27766
ECA2818,ascr#18,5,289155.525
ECA2818,oscr#18,5,390900.0208
ECA2818,iglu#1,5,26042923.79
ECA2818,ascr#7,5,184185.5973
ECA2818,iglu#2,5,1749458.938
ECA2818,ascr#1,5,3337041.101
ECA2818,ascr#3,5,7892823.146
ECA2818,ascr#10,5,1017894.278
ECA2818,nacq#1,5,1711445.291
ECA2818,ascr#5,5,38670358
