strain	ascr.s.	ascr.l.	bhas.s.	bhas.l.	modified.C.	modified.4..	oscr.s.	oscr.l.	bhos
JT11398	0.40816288318887	0.008132456341515635	0.005292329041358699	0.003051800002694393	0.020590198332414524	0.015600630731435501	0.5295108497634833	0.008102270010565215	0.0015565825876627112
JU1172	0.37247367000377113	0.024922294839749923	0.005920559150364033	0.0015307922015761288	0.020770430841808265	0.003404822589103043	0.5636203034046918	0.006686445435803567	6.706815331320163e-4
JU1200	0.3857798608359215	0.012568415011313052	0.006261354323844688	0.0022345020711898576	0.031045185278405028	0.012374734749254036	0.5419280646820194	0.006814849674438364	9.930333736141083e-4
JU1246	0.38428081041374185	0.015953588263703807	0.00868887547192285	0.002858436690829741	0.021621689345082788	0.008030852336431096	0.5527895299877504	0.004607044531374173	0.0011691729591631948
JU1395	0.3897571631102789	0.011349279033509728	0.006930524295356868	0.0027161027648384523	0.021412226349245254	0.007226741013338885	0.5530971320798515	0.006079993634400228	0.0014308377191803012
JU1409	0.4184690263830882	0.021282648984395303	0.006689931925472028	0.003156660104088406	0.03246145005408824	0.014872381702675864	0.49669733543456684	0.005294472357002996	0.0010760930546221275
JU1516	0.3434592444066654	0.005511505756759583	0.006059336134710285	0.0029337939317956255	0.01971749004177711	0.014609045235018167	0.6018220143326407	0.0045867482357781824	0.0013008219248549073
JU1530	0.3063801822646522	0.018278068639212115	0.005389143790109015	0.0024273604311425365	0.023052729499019306	0.010110109511877637	0.6288158084370784	0.004377303046762351	0.0011692943801464065
JU1568	0.4643565593678303	0.02508907234647896	0.005104108387438143	0.0022690272193814486	0.025238836410476598	0.005058230436611716	0.4637639409335953	0.0067932572830061025	0.0023269676151814406
JU1580	0.3856763840284886	0.03852668840069609	0.004634403328466705	9.341653447395406e-4	0.03182704698165324	0.005626730308654589	0.5261743676356447	0.0057186835911235976	8.815303805328953e-4
JU1586	0.455060639865677	0.02291839580285747	0.006487490876391421	0.0013773167701237406	0.021358045094033346	0.006394135396496249	0.4817365426645778	0.00325824924360612	0.0014091842862367534
JU1652	0.45192002797766034	0.012500399321748708	0.0048280518104734564	0.0015068783990399297	0.013439394754799036	0.005446083523692188	0.5042864414278772	0.0057344755001508575	3.382472845583116e-4
JU1896	0.3692331654261679	0.009537012759373815	0.00535367622782876	0.0029887845035701326	0.021074010315167282	0.005051641564589534	0.582797039636112	0.003054134699774017	9.105348674165896e-4
JU2001	0.436061757442382	0.01829951462996109	0.005325736648082334	0.004843280857132123	0.03173392806014304	0.01897770556115777	0.4748299332569052	0.008792856509707653	0.0011352870345288045
JU2007	0.3444953096937101	0.043122109971975776	0.006757776972055813	0.0012487610404700318	0.016435594031479536	0.0019294394929265496	0.5786202648578749	0.006389855809249969	0.0010008881302573762
JU2316	0.4294148582627868	0.0077500074798162585	0.005004758115941551	0.0024350448680474203	0.015258204535661365	0.02318542208931492	0.5119367607393176	0.0044086674050044595	6.062765041096463e-4
JU2464	0.5239969049278034	0.013966422504828378	0.0038047688870241586	0.005038281377979694	0.023331018291396038	0.01958236471573729	0.40270895672908974	0.006365715511755367	0.0012055670543859084
JU2466	0.44284037008018856	0.014816879792632163	0.006497806825284739	0.0038919523747030795	0.018589223707878497	0.007991426583318539	0.4963875759703989	0.00793598539589193	0.0010487792697035983
JU258	0.6354090843815641	0.06652525165799159	0.0046309865140013095	0.004583351314262978	0.045517242087582815	0.019585751672568787	0.22017890877674798	0.0018972175760203986	0.0016722060192600717
JU310	0.37793772674497694	0.02643740871441188	0.006246107817561527	0.0017429281359082507	0.010680959807509348	0.013792833766734045	0.5572945894868122	0.004240996864622147	0.0016264486614636395
JU323	0.39519287315808393	0.03924328797997171	0.007493141413223018	0.001697261376384067	0.022324843206519503	0.016047348846935042	0.5124571261023301	0.004484213020741069	0.0010599048958115254
JU346	0.34532954559160345	0.007338286326016415	0.0033861648333676705	0.0016742121863223733	0.015385882961435901	0.004461979682082172	0.6173451114349594	0.004400089697451131	6.787272867615137e-4
JU360	0.4020713268772649	0.012154569564297963	0.003955710843035695	0.003963290134122893	0.031490929747150724	0.012949867609794035	0.5273613620934405	0.004448946853259032	0.0016039962776343076
JU367	0.3947419411932113	0.0349178646384306	0.007264959513267814	0.0017629469643810265	0.022427246424746534	0.007279998165582212	0.5260626793160758	0.005012338147124872	5.300256371797574e-4
JU393	0.37682295283444145	0.013530511273583602	0.004319386283559805	0.004832155728980874	0.02256643067223591	0.010404125624888851	0.5526762197995972	0.012686179414003691	0.002162038368708508
JU394	0.43369318577032495	0.019893125220849798	0.0025230543858230934	0.007599518103725388	0.027590892747612034	0.02042881043535652	0.47251142306929034	0.013274089912606792	0.0024859003544110965
JU397	0.37351858965343376	0.016648315992295597	0.006552926681984978	0.001595237675303183	0.026833660414500016	0.005635940443045098	0.5644923825455346	0.0032920033392550415	0.0014309432546477103
JU406	0.3569275634876299	0.01356610815847331	0.0037088855207709835	0.0032921732416073177	0.021488863314070652	0.009343013455791215	0.5820026396367872	0.00879775345103147	8.729997338379035e-4
JU440	0.4285673477927903	0.010657944521581718	0.00727648292883283	0.003454745396245556	0.021780447124106914	0.00807108206182767	0.5123249436725966	0.006701735206327992	0.001165271295690374
